code,name,area,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,den1995,den1996,den1997,den1998,den1999,den2000,den2001,den2002,den2003,den2004,den2005,den2006,den2007,den2008,den2009,den2010,den2011,den2012,den2013,den2014,den2015,den2016
VN,CẢ NƯỚC,331230.8,71995.5,73156.7,74306.9,75456.3,76596.7,77630.9,78620.5,79537.7,80467.4,81436.4,82392.1,83311.2,84218.5,85118.7,86025,86947.4,87860.4,88809.3,89759.5,90728.9,91709.8,92695.1,217.4,220.9,224.3,227.8,231.2,234.4,237.4,240.1,242.9,245.9,248.7,251.5,254.3,257.0,259.7,262.5,265.3,268.1,271.0,273.9,276.9,279.9
1,Hà Nội,3358.9,4730,4820.9,4909,4995.1,5076.7,5197.9,5328.4,5455.3,5587.6,5720.5,5836.3,5927.2,6002.2,6381.8,6472,6633.6,6761.3,6865.2,6977,7095.9,7202.9,7328.4,1408.2,1435.3,1461.5,1487.1,1511.4,1547.5,1586.4,1624.1,1663.5,1703.1,1737.6,1764.6,1787.0,1900.0,1926.8,1974.9,2013.0,2043.9,2077.2,2112.6,2144.4,2181.8
26,Vĩnh Phúc,1235.3,1048.2,1061.9,1075.8,1085.7,1094.3,1104.1,1114.1,1124.3,1134.1,1145.2,1157,1166,1174.1,993.8,1000.4,1007.6,1011.4,1022.4,1029.4,1041.9,1054.5,1066,848.5,859.6,870.9,878.9,885.9,893.8,901.9,910.1,918.1,927.1,936.6,943.9,950.5,804.5,809.8,815.7,818.7,827.7,833.3,843.4,853.6,862.9
27,Bắc Ninh,822.8,916,925.3,931.7,937.6,943,950.6,958.9,967.6,975.3,983.2,991.1,999.8,1009.4,1018.1,1026.5,1044.2,1063.4,1085.8,1108.2,1131.2,1154.7,1178.6,1113.3,1124.6,1132.4,1139.5,1146.1,1155.3,1165.4,1176.0,1185.3,1194.9,1204.5,1215.1,1226.8,1237.4,1247.6,1269.1,1292.4,1319.6,1346.9,1374.8,1403.4,1432.4
22,Quảng Ninh,6177.7,941.7,958,974.4,991.4,1007.2,1024.2,1039.3,1054.4,1068.4,1081.8,1096.1,1109.3,1122.5,1135.1,1146.1,1157.2,1168,1177.7,1187.5,1199.4,1211.3,1224.6,152.4,155.1,157.7,160.5,163.0,165.8,168.2,170.7,172.9,175.1,177.4,179.6,181.7,183.7,185.5,187.3,189.1,190.6,192.2,194.1,196.1,198.2
30,Hải Dương,1668.3,1609.1,1619.5,1630.5,1641.3,1651,1656.9,1662.7,1668.1,1673.7,1680.4,1685.5,1689.7,1694.7,1700.8,1706.8,1716.4,1729.8,1741.7,1751.8,1763.2,1774.5,1785.8,964.5,970.7,977.3,983.8,989.6,993.2,996.6,999.9,1003.2,1007.3,1010.3,1012.8,1015.8,1019.5,1023.1,1028.8,1036.9,1044.0,1050.1,1056.9,1063.7,1070.4
31,Hải Phòng,1561.7,1608.2,1625,1641.9,1659.5,1676.7,1691.5,1708.6,1725.3,1741,1757.8,1773.4,1789.1,1806.5,1824.1,1840.4,1857.8,1879.8,1904.1,1925.2,1946,1963.3,1980.8,1029.8,1040.5,1051.4,1062.6,1073.6,1083.1,1094.1,1104.8,1114.8,1125.6,1135.6,1145.6,1156.8,1168.0,1178.5,1189.6,1203.7,1219.2,1232.8,1246.1,1257.2,1268.4
33,Hưng Yên,930.3,1033.2,1042.6,1052.2,1061.7,1071.4,1079,1086,1091.5,1097,1104.3,1111,1116.4,1121.3,1126.2,1128.6,1132.3,1138.4,1144.1,1151.6,1158.1,1164.1,1170.2,1110.6,1120.7,1131.0,1141.2,1151.7,1159.8,1167.4,1173.3,1179.2,1187.0,1194.2,1200.0,1205.3,1210.6,1213.2,1217.1,1223.7,1229.8,1237.9,1244.9,1251.3,1257.9
34,Thái Bình,1586.5,1752.3,1761,1769.5,1778.5,1788.1,1789.4,1790.3,1790.9,1790.9,1791.2,1790.5,1787.4,1783.9,1782.7,1783.1,1784.7,1785.9,1787.4,1788.1,1788.7,1789.2,1790,1104.5,1110.0,1115.3,1121.0,1127.1,1127.9,1128.5,1128.8,1128.8,1129.0,1128.6,1126.6,1124.4,1123.7,1123.9,1124.9,1125.7,1126.6,1127.1,1127.5,1127.8,1128.3
35,Hà Nam,862,763.7,771.6,779.4,786.6,792.5,793.8,793.2,792.8,792.3,791.9,791.3,790,788.4,786.9,786.2,786.3,786.9,792.2,796,799.4,802.7,803.7,886.0,895.1,904.2,912.5,919.4,920.9,920.2,919.7,919.1,918.7,918.0,916.5,914.6,912.9,912.1,912.2,912.9,919.0,923.4,927.4,931.2,932.4
36,Nam Ðịnh,1668.5,1820.5,1838,1856.2,1874.4,1891.9,1886.5,1879.7,1872.8,1866.3,1859.4,1851,1839.4,1829.7,1826.1,1828.4,1830,1833.5,1835.1,1839.9,1845.6,1850.6,1852.6,1091.1,1101.6,1112.5,1123.4,1133.9,1130.7,1126.6,1122.4,1118.5,1114.4,1109.4,1102.4,1096.6,1094.5,1095.8,1096.8,1098.9,1099.9,1102.7,1106.1,1109.1,1110.3
37,Ninh Bình,1386.8,855.5,866,874.2,881.1,885,886.8,888.7,889.9,890.9,892.2,893.5,894.6,896.1,898.1,899.6,901.7,907.7,919.1,927.2,935.8,944.4,953.1,616.9,624.5,630.4,635.3,638.2,639.5,640.8,641.7,642.4,643.4,644.3,645.1,646.2,647.6,648.7,650.2,654.5,662.7,668.6,674.8,681.0,687.3
2,Hà Giang,7929.2,550.3,564.2,577.7,590.4,605.9,619.2,631.6,643.9,656.2,669,681.7,693.4,704.9,716.2,725.1,733.8,746.6,761.6,775.8,788.8,801.8,816.1,69.4,71.2,72.9,74.5,76.4,78.1,79.7,81.2,82.8,84.4,86.0,87.4,88.9,90.3,91.4,92.5,94.2,96.1,97.8,99.5,101.1,102.9
4,Cao Bằng,6700.2,489.2,489.4,490,490.5,492.1,493.9,496.2,498.7,500.8,502.8,504.9,506.8,508.6,510.5,511.2,513.1,514,515.2,517.9,520.2,524.6,529.8,73.0,73.0,73.1,73.2,73.4,73.7,74.1,74.4,74.7,75.0,75.4,75.6,75.9,76.2,76.3,76.6,76.7,76.9,77.3,77.6,78.3,79.1
6,Bắc Kạn,4860,254.2,259.6,265.2,270.9,276.4,278.4,280.5,282.5,284.4,286.5,288.4,290,291.8,293.6,294.6,297.5,300.4,303,305.2,307.3,313.1,319,52.3,53.4,54.6,55.7,56.9,57.3,57.7,58.1,58.5,59.0,59.3,59.7,60.0,60.4,60.6,61.2,61.8,62.3,62.8,63.2,64.4,65.6
8,Tuyên Quang,5867.9,638.8,648.9,659,668,677.3,684.1,690.2,696.3,701.9,707.5,712.1,715.7,719.4,723.5,725.2,729.3,734.9,740.8,747.2,753.8,760.3,766.9,108.9,110.6,112.3,113.8,115.4,116.6,117.6,118.7,119.6,120.6,121.4,122.0,122.6,123.3,123.6,124.3,125.2,126.2,127.3,128.5,129.6,130.7
10,Lào Cai,6364,550.1,562.8,574.5,585.9,598.5,607.4,616.6,625.7,634.2,573.9,581.4,590.2,598.3,606.5,615.8,626.8,637,646.5,655.9,665.2,674.5,684.3,86.4,88.4,90.3,92.1,94.0,95.4,96.9,98.3,99.7,90.2,91.4,92.7,94.0,95.3,96.8,98.5,100.1,101.6,103.1,104.5,106.0,107.5
15,Yên Bái,6887.6,647.7,655.9,664.5,673.1,682.1,688,694.1,700.1,706.8,713.5,719.5,725.4,731.6,737.5,741.7,751.3,758.6,765.7,774.6,783.5,793.1,800.1,94.0,95.2,96.5,97.7,99.0,99.9,100.8,101.6,102.6,103.6,104.5,105.3,106.2,107.1,107.7,109.1,110.1,111.2,112.5,113.8,115.1,116.2
19,Thái Nguyên,3526.7,1005,1020.6,1029.6,1038.5,1047.8,1055.5,1063.6,1071,1079.5,1089,1098.5,1106.5,1113,1120.3,1125.4,1131.3,1139.4,1149.1,1156,1173.2,1215.3,1227.4,285.0,289.4,291.9,294.5,297.1,299.3,301.6,303.7,306.1,308.8,311.5,313.7,315.6,317.7,319.1,320.8,323.1,325.8,327.8,332.7,344.6,348.0
20,Lạng Sơn,8310.2,679.2,689.2,694.7,700.2,705.9,707.9,710.5,713.2,716.7,720.5,724.1,726.3,728.2,730.7,733.2,736.3,740.8,745.3,749.7,753.7,760.6,768.7,81.7,82.9,83.6,84.3,84.9,85.2,85.5,85.8,86.2,86.7,87.1,87.4,87.6,87.9,88.2,88.6,89.1,89.7,90.2,90.7,91.5,92.5
24,Bắc Giang,3895.5,1431,1451.4,1468.3,1477.4,1495.7,1502.7,1509.1,1515.8,1522.6,1530.3,1537.3,1543,1548.8,1554.6,1556.9,1569.8,1581.8,1592.9,1608,1624.5,1640.9,1657.6,367.3,372.6,376.9,379.3,384.0,385.8,387.4,389.1,390.9,392.8,394.6,396.1,397.6,399.1,399.7,403.0,406.1,408.9,412.8,417.0,421.2,425.5
25,Phú Thọ,3534.4,1211.7,1224.8,1237.9,1250.8,1263.8,1270.1,1276,1281.4,1286.3,1291.7,1297.3,1301.5,1305.6,1311.5,1316.6,1322.7,1329.3,1340.8,1351.2,1360.2,1370.6,1381.7,342.8,346.5,350.2,353.9,357.6,359.4,361.0,362.6,363.9,365.5,367.0,368.2,369.4,371.1,372.5,374.2,376.1,379.4,382.3,384.8,387.8,390.9
11,Ðiện Biên,9540.9,292.6,300.3,307.6,315.2,324.4,337.1,349.0,361.5,374.2,423.3,438.5,452.7,466,479.3,490.8,501.2,510.8,519.7,528.5,538.1,547.8,557.4,30.7,31.5,32.2,33.0,34.0,35.3,36.6,37.9,39.2,44.4,46.0,47.4,48.8,50.2,51.4,52.5,53.5,54.5,55.4,56.4,57.4,58.4
12,Lai Châu,9069.5,242.9,249.2,255.2,261.5,269.2,279.7,289.7,300.1,310.5,351.3,356.7,360.7,364.4,367.9,371.4,380.8,389.4,397.3,405.7,415.3,424.6,436,26.8,27.5,28.1,28.8,29.7,30.8,31.9,33.1,34.2,38.7,39.3,39.8,40.2,40.6,41.0,42.0,42.9,43.8,44.7,45.8,46.8,48.1
